"Key","File","Type","UsedInMainMenu","NoTranslate","KeepLoaded","english"
"zcClaimBlock","blocks","Block","","","","Zone Claim Block"
"zcSettingCategoryGeneral","UI","Menu","x","","","General"
"zcSettingCategoryGeneralToolTip","UI","Menu","x","","","General settings"
"zcSettingIsDebug","UI","Menu","x","","","Debug Logging"
"zcSettingIsDebugTooltip","UI","Menu","x","","","Enable additional logging"
"zcSettingCategoryMap","UI","Menu","x","","","Map"
"zcSettingCategoryMapToolTip","UI","Menu","x","","","Map settings"
"zcSettingHideLandClaimsFromCompassOnStart","UI","Menu","x","","","Hide Land Claims on compass"
"zcSettingHideLandClaimsFromCompassOnStartToolTip","UI","Menu","x","","","Hide Land Claim compass points on game start"
"zcSettingHideSleepingBagsFromCompassOnStart","UI","Menu","x","","","Hide Bedroll/Sleeping bags on compass"
"zcSettingHideSleepingBagsFromCompassOnStartToolTip","UI","Menu","x","","","Hide Bedroll/Sleeping bag compass points on game start"
"zcSettingCategoryLandClaim","UI","Menu","x","","","Land Claim"
"zcSettingCategoryLandClaimToolTip","UI","Menu","x","","","Land Claim settings"
"zcSettingLandClaimCount","UI","Menu","x","","","Land Claim Count"
"zcSettingLandClaimCountToolTip","UI","Menu","x","","","Maximum number of land claims allowed to be placed. Does not affect existing land claims."
"zcSettingLandClaimSize","UI","Menu","x","","","Land Claim Size"
"zcSettingLandClaimSizeToolTip","UI","Menu","x","","","Size of the land claim area of effect in blocks"
"zcSettingCategoryZone","UI","Menu","x","","","Zone"
"zcSettingCategoryZoneToolTip","UI","Menu","x","","","Zone settings"
"zcSettingZoneControlSize","UI","Menu","x","","","Zone Control Size"
"zcSettingZoneControlSizeToolTip","UI","Menu","x","","","Initial size of a controlled zone when using size as the border type"
